descriptor,algorithm,dataset,rmse_mine,rmse_off,cliff_mine,cliff_off,n_train,n_test,n_cliff
MACCS,SVM,CHEMBL239_EC50,0.7178,0.7178,0.8533,0.8533,1374,347,141
MACCS,RF,CHEMBL239_EC50,0.7366,0.7346,0.8688,0.8681,1374,347,141
MACCS,GBM,CHEMBL239_EC50,0.7252,0.7207,0.8371,0.8409,1374,347,141
MACCS,KNN,CHEMBL239_EC50,0.791,0.791,0.8951,0.8951,1374,347,141
MACCS,SVM,CHEMBL244_Ki,0.8183,0.8183,0.8697,0.8697,2476,621,296
MACCS,RF,CHEMBL244_Ki,0.8446,0.8458,0.9186,0.9174,2476,621,296
MACCS,GBM,CHEMBL244_Ki,0.8005,0.7989,0.8656,0.8789,2476,621,296
MACCS,KNN,CHEMBL244_Ki,0.9005,0.9016,0.9424,0.9473,2476,621,296
MACCS,SVM,CHEMBL262_Ki,0.8339,0.8339,0.9592,0.9592,683,173,32
MACCS,RF,CHEMBL262_Ki,0.8907,0.8847,0.8836,0.8843,683,173,32
MACCS,GBM,CHEMBL262_Ki,0.814,0.809,0.92,0.8785,683,173,32
MACCS,KNN,CHEMBL262_Ki,0.9168,0.9168,1.1287,1.1287,683,173,32
MACCS,SVM,CHEMBL264_Ki,0.7205,0.7205,0.8131,0.8131,2288,574,239
MACCS,RF,CHEMBL264_Ki,0.735,0.7379,0.8259,0.8311,2288,574,239
MACCS,GBM,CHEMBL264_Ki,0.6944,0.696,0.7882,0.7901,2288,574,239
MACCS,KNN,CHEMBL264_Ki,0.7661,0.7698,0.8869,0.8905,2288,574,239
MACCS,SVM,CHEMBL2835_Ki,0.4643,0.4643,0.7648,0.7648,489,126,13
MACCS,RF,CHEMBL2835_Ki,0.4468,0.4372,0.8346,0.8238,489,126,13
MACCS,GBM,CHEMBL2835_Ki,0.4534,0.4807,0.8716,0.9261,489,126,13
MACCS,KNN,CHEMBL2835_Ki,0.4669,0.4669,0.8819,0.8819,489,126,13
MACCS,SVM,CHEMBL287_Ki,0.738,0.738,0.789,0.789,1061,267,103
MACCS,RF,CHEMBL287_Ki,0.7952,0.7891,0.836,0.8333,1061,267,103
MACCS,GBM,CHEMBL287_Ki,0.7756,0.7876,0.8477,0.8361,1061,267,103
MACCS,KNN,CHEMBL287_Ki,0.8423,0.8423,0.9244,0.9244,1061,267,103
MACCS,SVM,CHEMBL2971_Ki,0.6568,0.6568,0.6987,0.6987,779,197,34
MACCS,RF,CHEMBL2971_Ki,0.6381,0.6369,0.6547,0.6565,779,197,34
MACCS,GBM,CHEMBL2971_Ki,0.6594,0.6585,0.7429,0.6456,779,197,34
MACCS,KNN,CHEMBL2971_Ki,0.7316,0.7316,0.6706,0.6706,779,197,34
MACCS,SVM,CHEMBL3979_EC50,0.6728,0.6728,0.7146,0.7146,899,226,94
MACCS,RF,CHEMBL3979_EC50,0.6918,0.6963,0.7173,0.7267,899,226,94
MACCS,GBM,CHEMBL3979_EC50,0.6592,0.6611,0.6934,0.7034,899,226,94
MACCS,KNN,CHEMBL3979_EC50,0.7069,0.7069,0.7492,0.7492,899,226,94
MACCS,SVM,CHEMBL4005_Ki,0.7233,0.7233,0.8439,0.8439,767,193,81
MACCS,RF,CHEMBL4005_Ki,0.6947,0.7013,0.8389,0.8448,767,193,81
MACCS,GBM,CHEMBL4005_Ki,0.6907,0.6755,0.8202,0.7899,767,193,81
MACCS,KNN,CHEMBL4005_Ki,0.7657,0.7657,0.8732,0.8732,767,193,81
MACCS,SVM,CHEMBL4203_Ki,0.9817,0.9817,1.4668,1.4668,582,149,13
MACCS,RF,CHEMBL4203_Ki,0.9309,0.9292,1.3447,1.3265,582,149,13
MACCS,GBM,CHEMBL4203_Ki,0.9864,0.9836,1.4153,1.4244,582,149,13
MACCS,KNN,CHEMBL4203_Ki,1.0308,1.0308,1.5023,1.5023,582,149,13
MACCS,SVM,CHEMBL4616_EC50,0.7173,0.7173,0.7795,0.7795,543,139,73
MACCS,RF,CHEMBL4616_EC50,0.7182,0.7168,0.7747,0.7721,543,139,73
MACCS,GBM,CHEMBL4616_EC50,0.7125,0.7151,0.7808,0.7949,543,139,73
MACCS,KNN,CHEMBL4616_EC50,0.7113,0.7113,0.7821,0.7821,543,139,73
MACCS,SVM,CHEMBL4792_Ki,0.7488,0.7488,0.7798,0.7798,1174,297,160
MACCS,RF,CHEMBL4792_Ki,0.7863,0.7867,0.8307,0.8266,1174,297,160
MACCS,GBM,CHEMBL4792_Ki,0.7667,0.7564,0.8064,0.7935,1174,297,160
MACCS,KNN,CHEMBL4792_Ki,0.8627,0.8627,0.8859,0.8859,1174,297,160
PHYSCHEM,SVM,CHEMBL1862_Ki,0.9515,0.9663,0.9005,0.9201,633,161,67
PHYSCHEM,RF,CHEMBL1862_Ki,0.9288,0.9085,0.9474,0.9395,633,161,67
PHYSCHEM,GBM,CHEMBL1862_Ki,0.9207,0.9427,0.8866,0.9033,633,161,67
PHYSCHEM,KNN,CHEMBL1862_Ki,0.9794,1.0008,0.9553,0.9602,633,161,67
PHYSCHEM,SVM,CHEMBL1871_Ki,0.7947,0.8026,1.0386,1.0663,525,134,32
PHYSCHEM,RF,CHEMBL1871_Ki,0.7568,0.753,1.0789,1.0577,525,134,32
PHYSCHEM,GBM,CHEMBL1871_Ki,0.7326,0.7244,1.0604,1.0485,525,134,32
PHYSCHEM,KNN,CHEMBL1871_Ki,0.7973,0.7969,1.0409,1.0635,525,134,32
PHYSCHEM,SVM,CHEMBL2034_Ki,0.7596,0.7632,0.9064,0.9102,598,152,52
PHYSCHEM,RF,CHEMBL2034_Ki,0.7045,0.7054,0.8283,0.8348,598,152,52
PHYSCHEM,GBM,CHEMBL2034_Ki,0.6983,0.7292,0.8262,0.867,598,152,52
PHYSCHEM,KNN,CHEMBL2034_Ki,0.7825,0.7609,0.9123,0.9014,598,152,52
PHYSCHEM,SVM,CHEMBL2047_EC50,0.7533,0.7146,0.689,0.6672,503,128,50
PHYSCHEM,RF,CHEMBL2047_EC50,0.8127,0.8137,0.9019,0.9004,503,128,50
PHYSCHEM,GBM,CHEMBL2047_EC50,0.8135,0.813,0.9004,0.9096,503,128,50
PHYSCHEM,KNN,CHEMBL2047_EC50,0.7734,0.7655,0.8452,0.845,503,128,50
PHYSCHEM,SVM,CHEMBL204_Ki,1.2189,1.2052,1.3217,1.3129,2201,553,220
PHYSCHEM,RF,CHEMBL204_Ki,1.1062,1.1046,1.1608,1.1609,2201,553,220
PHYSCHEM,GBM,CHEMBL204_Ki,1.1391,1.1445,1.1997,1.2108,2201,553,220
PHYSCHEM,KNN,CHEMBL204_Ki,1.1182,1.1148,1.1629,1.1689,2201,553,220
PHYSCHEM,SVM,CHEMBL2147_Ki,0.9825,0.9655,0.9542,0.9065,1162,294,116
PHYSCHEM,RF,CHEMBL2147_Ki,1.0031,0.972,0.9665,0.9162,1162,294,116
PHYSCHEM,GBM,CHEMBL2147_Ki,0.9769,0.9486,0.9519,0.8935,1162,294,116
PHYSCHEM,KNN,CHEMBL2147_Ki,1.0709,1.053,0.9615,0.9226,1162,294,116
PHYSCHEM,SVM,CHEMBL214_Ki,0.9433,0.9567,0.9598,0.9649,2651,666,245
PHYSCHEM,RF,CHEMBL214_Ki,0.8993,0.909,0.9905,0.9892,2651,666,245
PHYSCHEM,GBM,CHEMBL214_Ki,0.895,0.8949,0.9787,0.9881,2651,666,245
PHYSCHEM,KNN,CHEMBL214_Ki,0.962,0.971,1.0497,1.0487,2651,666,245
PHYSCHEM,SVM,CHEMBL218_EC50,0.9867,1.0259,1.0205,1.0046,823,208,76
PHYSCHEM,RF,CHEMBL218_EC50,0.8241,0.8228,0.807,0.7997,823,208,76
PHYSCHEM,GBM,CHEMBL218_EC50,0.8,0.8286,0.8266,0.8262,823,208,76
PHYSCHEM,KNN,CHEMBL218_EC50,0.86,0.8828,0.8329,0.8324,823,208,76
PHYSCHEM,SVM,CHEMBL219_Ki,0.9687,0.9602,1.0125,1.009,1491,374,148
PHYSCHEM,RF,CHEMBL219_Ki,0.9312,0.9297,0.9699,0.97,1491,374,148
